src_ip,dst_ip,src_port,dst_port,protocol,start_time,end_time,duration_seconds,packet_count,byte_count,termination_reason
192.168.1.6,192.168.1.1,56349,53,UDP,1789895333.796031,1789895333.796031,0.0,1,85,end_of_capture
192.168.1.1,192.168.1.6,53,56349,UDP,1789895333.800552,1789895333.800552,0.0,1,119,end_of_capture
192.168.1.6,192.168.1.13,50944,80,TCP,1789895333.80092,1789895334.802156,1.0012359619140625,2,156,end_of_capture
192.168.1.6,192.168.1.13,50945,199,TCP,1789895333.801007,1789895334.80214,1.0011329650878906,2,156,end_of_capture
192.168.1.6,192.168.1.13,50946,256,TCP,1789895333.801072,1789895334.802123,1.0010511875152588,2,156,end_of_capture
192.168.1.6,192.168.1.13,50947,139,TCP,1789895333.801134,1789895334.802105,1.0009708404541016,2,156,end_of_capture
192.168.1.6,192.168.1.13,50948,110,TCP,1789895333.801193,1789895334.802029,1.00083589553833,2,156,end_of_capture
192.168.1.13,192.168.1.6,80,50944,TCP,1789895333.888121,1789895334.823419,0.9352982044219971,2,108,end_of_capture
192.168.1.13,192.168.1.6,199,50945,TCP,1789895333.888128,1789895334.823417,0.9352889060974121,2,108,end_of_capture
192.168.1.13,192.168.1.6,256,50946,TCP,1789895333.888129,1789895334.823414,0.9352850914001465,2,108,end_of_capture
192.168.1.13,192.168.1.6,139,50947,TCP,1789895333.888131,1789895334.823411,0.9352800846099854,2,108,end_of_capture
192.168.1.13,192.168.1.6,110,50948,TCP,1789895333.888132,1789895334.823408,0.9352757930755615,2,108,end_of_capture
192.168.1.8,239.255.255.250,48291,1900,UDP,1789895335.626724,1789895335.626729,5.0067901611328125e-06,3,1373,end_of_capture
192.168.1.8,239.255.255.250,39449,1900,UDP,1789895335.626732,1789895335.626732,0.0,1,478,end_of_capture
192.168.1.8,239.255.255.250,40916,1900,UDP,1789895335.626736,1789895335.626736,0.0,1,474,end_of_capture
192.168.1.8,239.255.255.250,45812,1900,UDP,1789895335.626739,1789895335.626739,0.0,1,474,end_of_capture
192.168.1.9,239.255.255.250,34819,15600,UDP,1789895335.63113,1789895335.63113,0.0,1,77,end_of_capture
192.168.1.8,239.255.255.250,37744,1900,UDP,1789895335.705218,1789895335.708762,0.003543853759765625,3,1373,end_of_capture
192.168.1.8,239.255.255.250,53777,1900,UDP,1789895335.708764,1789895335.708764,0.0,1,478,end_of_capture
192.168.1.8,239.255.255.250,37436,1900,UDP,1789895335.708767,1789895335.708767,0.0,1,474,end_of_capture
192.168.1.8,239.255.255.250,60707,1900,UDP,1789895335.708769,1789895335.708769,0.0,1,474,end_of_capture
192.168.1.6,192.168.1.13,50949,110,TCP,1789895335.812878,1789895336.814524,1.0016460418701172,2,156,end_of_capture
192.168.1.6,192.168.1.13,50950,139,TCP,1789895335.813235,1789895336.814508,1.0012729167938232,2,156,end_of_capture
192.168.1.6,192.168.1.13,50951,256,TCP,1789895335.813494,1789895336.814492,1.0009980201721191,2,156,end_of_capture
192.168.1.6,192.168.1.13,50952,199,TCP,1789895335.813824,1789895336.814473,1.0006489753723145,2,156,end_of_capture
192.168.1.6,192.168.1.13,50953,80,TCP,1789895335.814059,1789895336.814407,1.0003480911254883,2,156,end_of_capture
192.168.1.13,192.168.1.6,110,50949,TCP,1789895335.823923,1789895336.833702,1.0097789764404297,2,108,end_of_capture
192.168.1.13,192.168.1.6,139,50950,TCP,1789895335.823926,1789895336.8337,1.0097739696502686,2,108,end_of_capture
192.168.1.13,192.168.1.6,256,50951,TCP,1789895335.823928,1789895336.833698,1.0097699165344238,2,108,end_of_capture
192.168.1.13,192.168.1.6,199,50952,TCP,1789895335.82393,1789895336.833696,1.009765863418579,2,108,end_of_capture
192.168.1.13,192.168.1.6,80,50953,TCP,1789895335.823931,1789895336.833691,1.0097599029541016,2,108,end_of_capture
192.168.1.6,192.168.1.13,50954,135,TCP,1789895336.819332,1789895336.819332,0.0,1,78,end_of_capture
192.168.1.6,192.168.1.13,50955,443,TCP,1789895336.819632,1789895336.819632,0.0,1,78,end_of_capture
192.168.1.6,192.168.1.13,50956,113,TCP,1789895336.8199,1789895336.8199,0.0,1,78,end_of_capture
192.168.1.6,192.168.1.13,50957,23,TCP,1789895336.820163,1789895336.820163,0.0,1,78,end_of_capture
192.168.1.6,192.168.1.13,50958,111,TCP,1789895336.820422,1789895336.833957,0.013535022735595703,3,198,end_of_capture
192.168.1.13,192.168.1.6,135,50954,TCP,1789895336.833704,1789895336.833704,0.0,1,54,end_of_capture
192.168.1.13,192.168.1.6,443,50955,TCP,1789895336.833706,1789895336.833706,0.0,1,54,end_of_capture
192.168.1.13,192.168.1.6,113,50956,TCP,1789895336.833707,1789895336.833707,0.0,1,54,end_of_capture
